sigma l a b
1.876790813576304229e-01 5.824073401983566045e-01 7.968843143463501255e-03 -4.021072263289271476e-02
1.791792553367677343e-01 6.378451772428859190e-01 7.484897741772925106e-03 -2.329909313133771143e-02
2.007244452906601917e-01 6.258305013747376133e-01 7.457520944439910426e-03 -2.107085959296672861e-02
1.875373402907858922e-01 6.291326554310173735e-01 7.221760384110001429e-03 2.142226327101059979e-02
1.821063897190103587e-01 5.597619197981271721e-01 5.808215751883227806e-03 -9.191711833947513455e-03
1.881858234472377212e-01 5.240609505856598238e-01 7.514383581593453432e-03 -2.944851082718291657e-02
1.803226624259523236e-01 5.971940943199358642e-01 7.324045432300474445e-03 -1.508770354567556815e-02
1.663431724965241110e-01 6.479141607294613969e-01 7.394109441528871896e-03 2.167248927368792266e-02
1.835874326477507645e-01 6.188746217622849155e-01 7.265639170568681526e-03 2.370616577590434204e-02
1.625707971531381857e-01 6.523500494253988702e-01 7.948296921624617428e-03 -1.444341761684553305e-02
1.663095825411594064e-01 6.276315453759053753e-01 7.133396079231392461e-03 1.503901761029347028e-02
