c d e
2.116680255244125508e-01 2.311868989395568161e-02 -3.936024919887346485e-01
2.219934391759059711e-01 2.265835767803101378e-02 -4.128238063259788149e-01
2.343637910046563189e-01 2.197650817494967504e-02 -4.178636556126673618e-01
2.265986246334297238e-01 2.215084690782312404e-02 -4.092519434534483969e-01
2.445304520362294731e-01 2.135938344010088197e-02 -4.272587839978327917e-01
2.123692395348530937e-01 2.308818642687844938e-02 -4.041563615198078274e-01
2.279624119646310731e-01 2.239633278599525296e-02 -4.162681805615815467e-01
2.176970913083509096e-01 2.260748190754868076e-02 -3.950986398219381579e-01
2.466244567504896068e-01 2.134448356900319269e-02 -4.304100640640806663e-01
2.045454485771569519e-01 2.348901376480830305e-02 -3.874365598847594461e-01
2.210012319162519834e-01 2.249772131506779307e-02 -3.938345188109874107e-01
2.326973317498126637e-01 2.215808412147540762e-02 -4.241927513910642711e-01
2.173011966674356366e-01 2.278338840619180405e-02 -4.037984507380618648e-01
2.256859367369046243e-01 2.227619601997733387e-02 -4.095667170825662007e-01
2.349969572319503541e-01 2.180284186819143183e-02 -4.075327815552033384e-01
2.160889025505612349e-01 2.272981824520893882e-02 -3.905281723388889237e-01
2.375909102082875979e-01 2.190963532915303491e-02 -4.374170864535236181e-01
2.365913860238921806e-01 2.175196906558808305e-02 -4.168231596881513124e-01
2.145381164889839098e-01 2.306510749452044678e-02 -4.093191368319236689e-01
2.398678462268939438e-01 2.178306389733064563e-02 -4.196322592417404129e-01
2.292558626986156423e-01 2.223214275266751500e-02 -4.113163517631670540e-01
2.259163040918004128e-01 2.226165913938550969e-02 -4.025887625468167474e-01
2.268346054217686980e-01 2.232534713233022203e-02 -4.091619934224105526e-01
2.143157262784394224e-01 2.270283648225392484e-02 -3.851333348133534340e-01
2.259984471539462358e-01 2.214714683338054810e-02 -3.978232573227142854e-01
2.314344029164516758e-01 2.201375841248750728e-02 -4.117949054564440381e-01
2.307825689063316421e-01 2.206360648076840028e-02 -4.102267787153758283e-01
2.356324992505884897e-01 2.181784789019394072e-02 -4.187266024636311368e-01
2.214455522397587028e-01 2.251507140099012760e-02 -4.054621620450163944e-01
2.233424189965329543e-01 2.241718169288857074e-02 -4.021791928788164272e-01
2.452705583019447744e-01 2.157612469162475261e-02 -4.371031961955414991e-01
2.264292960871812088e-01 2.249215304126165813e-02 -4.194094338453403514e-01
2.290917982645086504e-01 2.235367516576787159e-02 -4.233176338960338292e-01
2.329275971490651909e-01 2.191322221415578989e-02 -4.128781575830381412e-01
2.414947295288729645e-01 2.162953046089206854e-02 -4.226679009915513818e-01
2.178126519628995617e-01 2.268749741704595424e-02 -4.008987391365629316e-01
2.357401349843362137e-01 2.205585670017615185e-02 -4.261994176072325669e-01
2.478547139540998590e-01 2.144158344486629675e-02 -4.389590578831014112e-01
2.088444282783490369e-01 2.308936707666307819e-02 -3.807765749556760726e-01
2.431875078683098934e-01 2.158257664496348802e-02 -4.290198122902241229e-01
2.431692296198670888e-01 2.157547147989532371e-02 -4.298206160142434840e-01
2.230070838132407474e-01 2.253113535744890109e-02 -4.109191182080350613e-01
2.214292052835562519e-01 2.247495108502344310e-02 -4.027279755842423370e-01
2.247474618333631380e-01 2.239914186295286283e-02 -4.014784121621124413e-01
2.124006486558474016e-01 2.292109513753999572e-02 -3.909853670294090033e-01
2.382658637636867471e-01 2.179010550123878023e-02 -4.207787882504038235e-01
2.004520468540518241e-01 2.361171043737078298e-02 -3.749557280428883477e-01
2.351381470933899820e-01 2.200721276280322852e-02 -4.244093425157209332e-01
2.310349729764908933e-01 2.212925306581562529e-02 -4.129318939369435171e-01
2.173538718018270810e-01 2.273667499311415874e-02 -3.978301913925527122e-01
2.241682175537267341e-01 2.239068231859164815e-02 -4.064927735261134600e-01
2.193278697690108636e-01 2.253995583386424195e-02 -4.049865337691669342e-01
2.239391146070828231e-01 2.257223627229694093e-02 -4.124178362907351403e-01
2.246324968725288418e-01 2.217089249529022657e-02 -4.005101758607978457e-01
2.471059792191128146e-01 2.148937859928010813e-02 -4.319020841013950784e-01
2.345690721480540031e-01 2.209815694174924530e-02 -4.265970119900239776e-01
2.102445197735509641e-01 2.313617770559077066e-02 -3.882861450016170668e-01
